rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
81,iamzlatanibrahimovic,None,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,86,39.18828758171501,870.0,55100000.0,55.1,1500000.0,1.5,837100.0,0.8371,1300000000.0,1.3,0.015300000000000001,1.53,0.02722323049001815,2.722323049001815,False,19.394570786498477,7.685440364526541,5.793260128739115,90.14084507042254
82,leonardodicaprio,None,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,86,36.86826696444326,1700.0,54600000.0,54.6,395500.0,0.3955,107600.0,0.1076,669300000.0,0.6693,0.002,0.2,0.0072435897435897435,0.7243589743589743,False,19.05373706497368,1.7677743507772772,0.7572889057175313,90.14084507042254
83,juventus,None,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,87,37.10079166682857,10000.0,54500000.0,54.5,194800.0,0.1948,135500.0,0.1355,1900000000.0,1.9,0.0025,0.25,0.0035743119266055047,0.35743119266055046,False,18.98519589026565,0.6809900132534266,0.9466111321469141,91.54929577464789
84,zacefron,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,86,43.97203103159068,660.0,54500000.0,54.5,2300000.0,2.3,4400000.0,4.4,1500000000.0,1.5,0.0818,8.18,0.04220183486238532,4.220183486238533,False,18.98519589026565,12.121875391197305,30.973116243847027,90.14084507042254
85,bellahadid,United Kingdom,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,79,35.35718860260748,3200.0,54100000.0,54.1,1100000.0,1.1,1100000.0,1.1,3600000000.0,3.6,0.0206,2.06,0.02033271719038817,2.033271719038817,False,18.709767754662778,5.644575021249699,7.800075728890572,80.28169014084507
86,tatawerneck,Brazil,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,86,37.70590875087279,5600.0,53900000.0,53.9,959800.0,0.9598,266500.0,0.2665,5400000000.0,5.4,0.0051,0.51,0.017807050092764377,1.7807050092764378,False,18.57128907664061,4.896510802511187,1.9310867095797046,90.14084507042254
87,beingsalmankhan,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,76,33.79155075937118,1200.0,53500000.0,53.5,1400000.0,1.4,693900.0,0.6939,1600000000.0,1.6,0.013300000000000001,1.33,0.026168224299065422,2.6168224299065423,False,18.292783503457557,7.3729635607776025,5.035971223021583,76.05633802816901
88,robertdowneyjr,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,86,41.3348176449204,420.0,53400000.0,53.4,3000000.0,3.0,1100000.0,1.1,1300000000.0,1.3,0.020499999999999997,2.05,0.056179775280898875,5.617977528089887,False,18.22283175186804,16.261928959059198,7.762211283604695,90.14084507042254
89,sunnyleone,None,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,84,36.40780011037979,4600.0,53400000.0,53.4,764000.0,0.764,301300.0,0.3013,3500000000.0,3.5,0.005699999999999999,0.57,0.014307116104868914,1.4307116104868913,False,18.22283175186804,3.859883534113615,2.158273381294964,87.32394366197182
90,ladygaga,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,83,37.02454967900574,3600.0,53200000.0,53.2,1400000.0,1.4,531600.0,0.5316,5100000000.0,5.1,0.0102,1.02,0.02631578947368421,2.631578947368421,False,18.082534400322416,7.416670123359849,3.8621734191594093,85.91549295774648
91,dishapatani,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,74,33.31090863576359,2100.0,53000000.0,53.0,1600000.0,1.6,971700.0,0.9717,3400000000.0,3.4,0.018500000000000003,1.8500000000000003,0.03018867924528302,3.018867924528302,False,17.94170862060362,8.56376122811279,7.004922377887166,73.23943661971832
92,sergioramos,None,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,87,38.542598284505274,2200.0,52800000.0,52.8,1100000.0,1.1,557900.0,0.5579,2500000000.0,2.5,0.0106,1.06,0.020833333333333332,2.083333333333333,False,17.800350417021225,5.792849916311082,4.013631200302916,91.54929577464789
